us,area,settore,periodo_iniziale,fase_iniziale,periodo_finale,fase_finale,datazione
610,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
612,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
613,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
616,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
617,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
618,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
624,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
625,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
626,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
627,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
628,1,"",5,1,5,1,Late Umm an-Nar (-2200 : -2000)
629,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
632,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
633,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
636,1,5-6,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
637,1,"",5,1,5,1,Late Umm an-Nar (-2200 : -2000)
638,1,6,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
640,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
642,1,"",5,1,5,1,Late Umm an-Nar (-2200 : -2000)
643,1,"",5,1,5,1,Late Umm an-Nar (-2200 : -2000)
661,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
684,1,6,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
476,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
499,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
505,1,5,4,1,4,1,Early Wadi Suq (-2000 : -1700)
519,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
520,1,1,4,1,4,1,Early Wadi Suq (-2000 : -1700)
522,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
523,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
524,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
525,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
526,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
527,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
528,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
532,1,A,4,1,4,1,Early Wadi Suq (-2000 : -1700)
534,1,5-6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
543,1,5,4,1,4,1,Early Wadi Suq (-2000 : -1700)
544,1,5,4,1,4,1,Early Wadi Suq (-2000 : -1700)
545,1,5,4,1,4,1,Early Wadi Suq (-2000 : -1700)
552,1,5,4,1,4,1,Early Wadi Suq (-2000 : -1700)
557,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
558,1,6,4,1,4,1,Early Wadi Suq (-2000 : -1700)
579,1,7,4,1,4,1,Early Wadi Suq (-2000 : -1700)
588,1,5,4,1,4,1,Early Wadi Suq (-2000 : -1700)
133,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
308,1,1,4,2,4,2,Late Wadi Suq (-1700 : -1300)
320,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
328,1,2,4,2,4,2,Late Wadi Suq (-1700 : -1300)
329,1,1,4,2,4,2,Late Wadi Suq (-1700 : -1300)
330,1,1-5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
348,1,2,4,2,4,2,Late Wadi Suq (-1700 : -1300)
352,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
353,1,3,4,2,4,2,Late Wadi Suq (-1700 : -1300)
359,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
364,1,2,4,2,4,2,Late Wadi Suq (-1700 : -1300)
374,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
375,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
379,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
383,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
389,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
399,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
401,1,2,4,2,4,2,Late Wadi Suq (-1700 : -1300)
419,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
422,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
438,1,3,4,2,4,2,Late Wadi Suq (-1700 : -1300)
442,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
444,1,2-5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
456,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
462,1,6-7,4,2,4,2,Late Wadi Suq (-1700 : -1300)
464,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
478,1,2,4,2,4,2,Late Wadi Suq (-1700 : -1300)
484,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
486,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
493,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
495,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
501,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
504,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
506,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
507,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
508,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
509,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
510,1,1-5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
511,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
512,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
513,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
514,1,7,4,2,4,2,Late Wadi Suq (-1700 : -1300)
515,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
521,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
529,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
530,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
533,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
535,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
539,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
541,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
542,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
553,1,5-6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
554,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
561,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
566,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
574,1,4,4,2,4,2,Late Wadi Suq (-1700 : -1300)
580,1,6,4,2,4,2,Late Wadi Suq (-1700 : -1300)
581,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
591,1,"",4,2,4,2,Late Wadi Suq (-1700 : -1300)
593,1,5,4,2,4,2,Late Wadi Suq (-1700 : -1300)
600,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
607,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
614,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
619,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
620,1,A,4,2,4,2,Late Wadi Suq (-1700 : -1300)
310,1,1,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
313,1,1-2,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
314,1,2,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
321,1,0-1-2-5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
324,1,A,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
325,1,1,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
332,1,0,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
346,1,2,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
468,1,0-1-2-5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
470,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
471,1,0-1-2-5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
477,1,2,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
494,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
500,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
503,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
516,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
517,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
538,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
563,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
567,1,5,3,1,3,1,Late Bronze Age - Decline of coastal settlements and social changes (-1300 : -1200)
303,1,1,2,1,2,1,Iron Age (-1200 : -300)
304,1,0,2,1,2,1,Iron Age (-1200 : -300)
305,1,1-2,2,1,2,1,Iron Age (-1200 : -300)
306,1,1,2,1,2,1,Iron Age (-1200 : -300)
307,1,0-1,2,1,2,1,Iron Age (-1200 : -300)
319,1,0,2,1,2,1,Iron Age (-1200 : -300)
327,1,A,2,1,2,1,Iron Age (-1200 : -300)
334,1,0,2,1,2,1,Iron Age (-1200 : -300)
335,1,0,2,1,2,1,Iron Age (-1200 : -300)
336,1,0,2,1,2,1,Iron Age (-1200 : -300)
337,1,0,2,1,2,1,Iron Age (-1200 : -300)
339,1,2,2,1,2,1,Iron Age (-1200 : -300)
340,1,2,2,1,2,1,Iron Age (-1200 : -300)
341,1,0,2,1,2,1,Iron Age (-1200 : -300)
344,1,0,2,1,2,1,Iron Age (-1200 : -300)
345,1,0,2,1,2,1,Iron Age (-1200 : -300)
347,1,3,2,1,2,1,Iron Age (-1200 : -300)
349,1,5,2,1,2,1,Iron Age (-1200 : -300)
350,1,4,2,1,2,1,Iron Age (-1200 : -300)
351,1,3,2,1,2,1,Iron Age (-1200 : -300)
354,1,3,2,1,2,1,Iron Age (-1200 : -300)
355,1,3,2,1,2,1,Iron Age (-1200 : -300)
356,1,4,2,1,2,1,Iron Age (-1200 : -300)
357,1,A,2,1,2,1,Iron Age (-1200 : -300)
358,1,4,2,1,2,1,Iron Age (-1200 : -300)
360,1,3,2,1,"",1,Iron Age (-1200 : -300) / 
361,1,3,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
367,1,4,2,1,2,1,Iron Age (-1200 : -300)
368,1,2,2,1,1,1,Iron Age (-1200 : -300) / Islamic/Contemporary (630 CE : present)
369,1,2,2,1,2,1,Iron Age (-1200 : -300)
370,1,2,2,1,2,1,Iron Age (-1200 : -300)
372,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
373,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
376,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
377,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
378,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
380,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
381,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
382,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
384,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
385,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
386,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
387,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
388,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
390,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
391,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
392,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
394,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
395,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
396,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
397,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
400,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
402,1,4,2,1,2,1,Iron Age (-1200 : -300)
403,1,4,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
406,1,A,2,1,2,1,Iron Age (-1200 : -300)
407,1,A,2,1,2,1,Iron Age (-1200 : -300)
408,1,A,2,1,2,1,Iron Age (-1200 : -300)
409,1,A,2,1,2,1,Iron Age (-1200 : -300)
410,1,A,2,1,2,1,Iron Age (-1200 : -300)
412,1,A,2,1,2,1,Iron Age (-1200 : -300)
413,1,A,2,1,2,1,Iron Age (-1200 : -300)
414,1,A,2,1,2,1,Iron Age (-1200 : -300)
415,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
416,1,A,2,1,2,1,Iron Age (-1200 : -300)
417,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
418,1,A,2,1,2,1,Iron Age (-1200 : -300)
420,1,A,2,1,2,1,Iron Age (-1200 : -300)
421,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
423,1,A,2,1,2,1,Iron Age (-1200 : -300)
424,1,A,2,1,2,1,Iron Age (-1200 : -300)
425,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
426,1,A,2,1,2,1,Iron Age (-1200 : -300)
427,1,A,2,1,2,1,Iron Age (-1200 : -300)
428,1,A,2,1,2,1,Iron Age (-1200 : -300)
430,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
431,1,A,2,1,2,1,Iron Age (-1200 : -300)
432,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
433,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
434,1,A,2,1,2,1,Iron Age (-1200 : -300)
435,1,A,2,1,2,1,Iron Age (-1200 : -300)
436,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
439,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
440,1,3-4,2,1,2,1,Iron Age (-1200 : -300)
441,1,3-4,2,1,2,1,Iron Age (-1200 : -300)
445,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
447,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
451,1,4,2,1,2,1,Iron Age (-1200 : -300)
452,1,4,2,1,2,1,Iron Age (-1200 : -300)
454,1,4,2,1,2,1,Iron Age (-1200 : -300)
457,1,3,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
458,1,4,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
461,1,5,2,1,2,1,Iron Age (-1200 : -300)
465,1,6,2,1,2,1,Iron Age (-1200 : -300)
466,1,7,2,1,2,1,Iron Age (-1200 : -300)
467,1,5,2,1,2,1,Iron Age (-1200 : -300)
469,1,6,2,1,2,1,Iron Age (-1200 : -300)
472,1,7,2,1,2,1,Iron Age (-1200 : -300)
473,1,7,2,1,2,1,Iron Age (-1200 : -300)
474,1,7,2,1,2,1,Iron Age (-1200 : -300)
475,1,7,2,1,2,1,Iron Age (-1200 : -300)
479,1,5-6-7,2,1,2,1,Iron Age (-1200 : -300)
480,1,5,2,1,2,1,Iron Age (-1200 : -300)
489,1,5,2,1,2,1,Iron Age (-1200 : -300)
490,1,5,2,1,2,1,Iron Age (-1200 : -300)
491,1,5,2,1,2,1,Iron Age (-1200 : -300)
496,1,7,2,1,2,1,Iron Age (-1200 : -300)
497,1,7,2,1,2,1,Iron Age (-1200 : -300)
498,1,5,2,1,2,1,Iron Age (-1200 : -300)
502,1,5,2,1,2,1,Iron Age (-1200 : -300)
518,1,6,2,1,2,1,Iron Age (-1200 : -300)
540,1,6,2,1,2,1,Iron Age (-1200 : -300)
562,1,6,2,1,2,1,Iron Age (-1200 : -300)
565,1,4,2,1,2,1,Iron Age (-1200 : -300)
570,1,4,2,1,2,1,Iron Age (-1200 : -300)
575,1,4,2,1,2,1,Iron Age (-1200 : -300)
577,1,4,2,1,2,1,Iron Age (-1200 : -300)
582,1,"",2,1,2,1,Iron Age (-1200 : -300)
583,1,7,2,1,2,1,Iron Age (-1200 : -300)
585,1,7,2,1,2,1,Iron Age (-1200 : -300)
586,1,4,2,1,2,1,Iron Age (-1200 : -300)
587,1,5,2,1,2,1,Iron Age (-1200 : -300)
589,1,7,2,1,2,1,Iron Age (-1200 : -300)
590,1,7,2,1,2,1,Iron Age (-1200 : -300)
594,1,A,2,1,2,1,Iron Age (-1200 : -300)
599,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
611,1,A,2,1,2,2,Iron Age (-1200 : -300) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
615,1,A,2,1,2,1,Iron Age (-1200 : -300)
621,1,5,2,1,2,1,Iron Age (-1200 : -300)
622,1,5,2,1,2,1,Iron Age (-1200 : -300)
623,1,5,2,1,2,1,Iron Age (-1200 : -300)
630,1,5,2,1,2,1,Iron Age (-1200 : -300)
631,1,5,2,1,2,1,Iron Age (-1200 : -300)
634,1,5-6,2,1,2,1,Iron Age (-1200 : -300)
635,1,"",2,1,2,1,Iron Age (-1200 : -300)
641,1,"",2,1,2,1,Iron Age (-1200 : -300)
644,1,"",2,1,2,1,Iron Age (-1200 : -300)
645,1,"",2,1,2,1,Iron Age (-1200 : -300)
651,1,"",2,1,2,1,Iron Age (-1200 : -300)
652,1,6-7,2,1,2,1,Iron Age (-1200 : -300)
653,1,"",2,1,2,1,Iron Age (-1200 : -300)
655,1,6,2,1,2,1,Iron Age (-1200 : -300)
656,1,6,2,1,2,1,Iron Age (-1200 : -300)
657,1,"",2,1,2,1,Iron Age (-1200 : -300)
658,1,"",2,1,2,1,Iron Age (-1200 : -300)
663,1,"",2,1,2,1,Iron Age (-1200 : -300)
664,1,"",2,1,2,1,Iron Age (-1200 : -300)
665,1,"",2,1,2,1,Iron Age (-1200 : -300)
666,1,6,2,1,2,1,Iron Age (-1200 : -300)
667,1,"",2,1,2,1,Iron Age (-1200 : -300)
668,1,7,2,1,2,1,Iron Age (-1200 : -300)
669,1,7,2,1,2,1,Iron Age (-1200 : -300)
670,1,7,2,1,2,1,Iron Age (-1200 : -300)
671,1,7,2,1,2,1,Iron Age (-1200 : -300)
672,1,7,2,1,2,1,Iron Age (-1200 : -300)
673,1,7,2,1,2,1,Iron Age (-1200 : -300)
674,1,7,2,1,2,1,Iron Age (-1200 : -300)
675,1,7,2,1,2,1,Iron Age (-1200 : -300)
676,1,7,2,1,2,1,Iron Age (-1200 : -300)
677,1,7,2,1,2,1,Iron Age (-1200 : -300)
678,1,7,2,1,2,1,Iron Age (-1200 : -300)
679,1,6,2,1,2,1,Iron Age (-1200 : -300)
680,1,6,2,1,2,1,Iron Age (-1200 : -300)
681,1,7,2,1,2,1,Iron Age (-1200 : -300)
682,1,7,2,1,2,1,Iron Age (-1200 : -300)
685,1,7,2,1,2,1,Iron Age (-1200 : -300)
686,1,"",2,1,2,1,Iron Age (-1200 : -300)
687,1,"",2,1,2,1,Iron Age (-1200 : -300)
688,1,"",2,1,2,1,Iron Age (-1200 : -300)
689,1,"",2,1,2,1,Iron Age (-1200 : -300)
690,1,"",2,1,2,1,Iron Age (-1200 : -300)
691,1,"",2,1,2,1,Iron Age (-1200 : -300)
693,1,7,2,1,2,1,Iron Age (-1200 : -300)
694,1,7,2,1,2,1,Iron Age (-1200 : -300)
695,1,7,2,1,2,1,Iron Age (-1200 : -300)
696,1,7,2,1,2,1,Iron Age (-1200 : -300)
697,1,7,2,1,2,1,Iron Age (-1200 : -300)
698,1,7,2,1,2,1,Iron Age (-1200 : -300)
699,1,7,2,1,2,1,Iron Age (-1200 : -300)
700,1,7,2,1,2,1,Iron Age (-1200 : -300)
701,1,7,2,1,2,1,Iron Age (-1200 : -300)
702,1,"",2,1,2,1,Iron Age (-1200 : -300)
703,1,7,2,1,2,1,Iron Age (-1200 : -300)
704,1,"",2,1,2,1,Iron Age (-1200 : -300)
705,1,"",2,1,2,1,Iron Age (-1200 : -300)
707,1,7,2,1,2,1,Iron Age (-1200 : -300)
708,1,7,2,1,2,1,Iron Age (-1200 : -300)
709,1,"",2,1,2,1,Iron Age (-1200 : -300)
710,1,7,2,1,2,1,Iron Age (-1200 : -300)
711,1,"",2,1,2,1,Iron Age (-1200 : -300)
712,1,7,2,1,2,1,Iron Age (-1200 : -300)
713,1,7,2,1,2,1,Iron Age (-1200 : -300)
714,1,7,2,1,2,1,Iron Age (-1200 : -300)
315,1,3,2,2,2,1,Iron Age II - Settlement expansion and metallurgical development (-800 : -600) / Iron Age (-1200 : -300)
1,1,0-1-2-3-4-5-6-7,1,1,1,1,Islamic/Contemporary (630 CE : present)
100,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
101,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
102,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
103,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
104,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
105,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
106,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
107,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
108,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
109,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
110,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
111,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
112,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
113,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
